monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
27,0.5510204081632653,0.0023741722106934704,0.0008059121944286041,0.02175962924957231,1,direct_retention,direct_retention,777,6C-50PER_3_6C,460481,2,101
21,0.42857142857142855,0.0033641457557676002,0.0013116143998645388,0.027543902397155318,1,direct_retention,direct_retention,778,6C-50PER_3_6C,460481,152,251
22,0.4489795918367347,0.00541079044342041,0.0014473904262889364,0.0318425893783566,1,direct_retention,direct_retention,779,6C-50PER_3_6C,460481,302,401
25,0.5102040816326531,0.0035279393196103737,0.001386032104492192,0.0346508026123048,1,direct_retention,direct_retention,780,6C-50PER_3_6C,460481,452,551
19,0.3877551020408163,0.00713193416595459,0.0019205338076541591,0.03649014234542902,1,direct_retention,direct_retention,781,6C-50PER_3_6C,460481,602,701
23,0.46938775510204084,0.001781165599822776,0.00045353174209594727,0.010431230068206787,1,direct_retention,direct_retention,782,6C-60PER_3C,460436,2,101
22,0.4489795918367347,0.004236102104187234,0.0011296976696361296,0.02485334873199485,1,direct_retention,direct_retention,783,6C-60PER_3C,460436,152,251
21,0.42857142857142855,0.002832651138305664,0.0009094448316665187,0.019098341464996893,1,direct_retention,direct_retention,784,6C-60PER_3C,460436,302,401
17,0.3469387755102041,0.006274998188018799,0.002772320719326237,0.04712945222854603,1,direct_retention,direct_retention,785,6C-60PER_3C,460436,452,551
19,0.3877551020408163,0.006400585174560547,0.002363873155493485,0.04491358995437622,1,direct_retention,direct_retention,786,6C-60PER_3C,460436,602,701
23,0.46938775510204084,0.0026531219482422985,0.0010362500729768221,0.023833751678466908,1,direct_retention,direct_retention,787,6C_60PER_3C,737302,1,100
23,0.46938775510204084,0.0038825273513793945,0.0014293297477390456,0.03287458419799805,1,direct_retention,direct_retention,788,6C_60PER_3C,737302,151,250
24,0.4897959183673469,0.0021113157272337757,0.0007834235827127953,0.01880216598510709,1,direct_retention,direct_retention,789,7C-30PER_3_6C,460525,2,101
23,0.46938775510204084,0.0029540657997131348,0.0011064565700033581,0.025448501110077237,1,direct_retention,direct_retention,790,7C-30PER_3_6C,460525,152,251
23,0.46938775510204084,0.004885435104370228,0.001436985057333251,0.03305065631866477,1,direct_retention,direct_retention,791,7C-30PER_3_6C,460525,302,401
20,0.40816326530612246,0.0062340497970579944,0.001503536105155956,0.03007072210311912,1,direct_retention,direct_retention,792,7C-30PER_3_6C,460525,452,551
22,0.4489795918367347,0.0015314221382140003,0.0008073015646500466,0.017760634422301025,1,direct_retention,direct_retention,793,7C-40PER_3C,460506,2,101
23,0.46938775510204084,0.002483367919921986,0.0007349693256875791,0.01690429449081432,1,direct_retention,direct_retention,794,7C-40PER_3C,460506,152,251
20,0.40816326530612246,0.0034726858139040306,0.0010806888341903798,0.021613776683807595,1,direct_retention,direct_retention,795,7C-40PER_3C,460506,302,401
