model_name,n_estimators,train_mse,valid_mse
F1_F0_plus_cycles,61,4.13612940655568e-06,0.0008764299604935392
F1_F0_plus_cycles,62,4.127692396120403e-06,0.0008800820215149154
F1_F0_plus_cycles,63,4.128064389252678e-06,0.0008765656927787333
F1_F0_plus_cycles,64,4.131764644560995e-06,0.00087874530062917
F1_F0_plus_cycles,65,4.125557219746912e-06,0.000872510118816243
F1_F0_plus_cycles,66,4.1232412225066515e-06,0.0008741003516973009
F1_F0_plus_cycles,67,4.1255911156257075e-06,0.0008718494945852228
F1_F0_plus_cycles,68,4.121698238106643e-06,0.0008762288073937151
F1_F0_plus_cycles,69,4.12881463829764e-06,0.0008825827249064756
F1_F0_plus_cycles,70,4.1231158726331795e-06,0.0008778461070348882
F1_F0_plus_cycles,71,4.118590969577124e-06,0.0008741272450552811
F1_F0_plus_cycles,72,4.115036744269508e-06,0.000875569049311876
F1_F0_plus_cycles,73,4.114370901429341e-06,0.0008672625277903042
F1_F0_plus_cycles,74,4.117663693216135e-06,0.0008741347970431755
F1_F0_plus_cycles,75,4.116727158173143e-06,0.0008807671733988917
F1_F0_plus_cycles,76,4.1147777942806895e-06,0.0008801806300007258
F1_F0_plus_cycles,77,4.1149688361580754e-06,0.0008819437401404711
F1_F0_plus_cycles,78,4.114929045372999e-06,0.0008828347083936766
F1_F0_plus_cycles,79,4.1164382115750734e-06,0.0008793345839567185
F1_F0_plus_cycles,80,4.121701670817728e-06,0.0008820455626567496
F1_F0_plus_cycles,81,4.130636562277027e-06,0.0008858490640170518
F1_F0_plus_cycles,82,4.1276894884868155e-06,0.000888790389429572
F1_F0_plus_cycles,83,4.124208618996213e-06,0.0008843397243789391
F1_F0_plus_cycles,84,4.121225647720554e-06,0.0008849205731963888
F1_F0_plus_cycles,85,4.123298721879531e-06,0.0008901193800705831
F1_F0_plus_cycles,86,4.1178957964694904e-06,0.0008927721994119144
F1_F0_plus_cycles,87,4.1202317407060124e-06,0.0008965152067446942
F1_F0_plus_cycles,88,4.1168519553969e-06,0.0008946200887984981
F1_F0_plus_cycles,89,4.114891137944818e-06,0.0008900455740384844
F1_F0_plus_cycles,90,4.111466251962437e-06,0.0008891632220309756
F1_F0_plus_cycles,91,4.111116261913879e-06,0.0008833482242923619
F1_F0_plus_cycles,92,4.1108338717028775e-06,0.000887714540623063
F1_F0_plus_cycles,93,4.10843467753734e-06,0.0008867244699984318
F1_F0_plus_cycles,94,4.103232915588756e-06,0.0008894547495121076
F1_F0_plus_cycles,95,4.100204050598055e-06,0.0008902763337623837
F1_F0_plus_cycles,96,4.098403792283323e-06,0.0008921783434281498
F1_F0_plus_cycles,97,4.1000212164215925e-06,0.0008952093952738012
F1_F0_plus_cycles,98,4.095783918385815e-06,0.0008963068534216697
F1_F0_plus_cycles,99,4.097408739440573e-06,0.0008959930106573748
F1_F0_plus_cycles,100,4.096960235096279e-06,0.0008964126157813431
F1_F0_plus_cycles,101,4.097492198869061e-06,0.0008938380485086138
F1_F0_plus_cycles,102,4.09647849305365e-06,0.0008966794061364841
F1_F0_plus_cycles,103,4.0940254352357896e-06,0.0008982359651118253
F1_F0_plus_cycles,104,4.095147656977873e-06,0.0008989398205660012
F1_F0_plus_cycles,105,4.0934907752394545e-06,0.0008945329778138812
F1_F0_plus_cycles,106,4.091906962663489e-06,0.0008979128877281459
F1_F0_plus_cycles,107,4.091322960765523e-06,0.0008957232132743457
F1_F0_plus_cycles,108,4.0857058264922924e-06,0.000897243439352772
F1_F0_plus_cycles,109,4.086476174028687e-06,0.0008914100159615683
F1_F0_plus_cycles,110,4.083103391567119e-06,0.0008874430634686537
F1_F0_plus_cycles,111,4.083968328970206e-06,0.000887207812726658
F1_F0_plus_cycles,112,4.081892231214243e-06,0.0008874853937634702
F1_F0_plus_cycles,113,4.081786384684715e-06,0.0008825649980741752
F1_F0_plus_cycles,114,4.0814854107048864e-06,0.0008799943402041523
F1_F0_plus_cycles,115,4.0811775151179365e-06,0.0008815144482550346
F1_F0_plus_cycles,116,4.08396610775546e-06,0.0008814116569413861
F1_F0_plus_cycles,117,4.081848771615795e-06,0.0008840631646615236
F1_F0_plus_cycles,118,4.079903892838162e-06,0.0008854922045270068
F1_F0_plus_cycles,119,4.079220051374385e-06,0.0008854357505469346
F1_F0_plus_cycles,120,4.083086238739669e-06,0.0008858248936360883
F2_F1_plus_60inc_plus_stats,1,5.057759658236353e-05,0.0011381226845468394
F2_F1_plus_60inc_plus_stats,2,3.296851099432399e-05,0.0009512448009181816
F2_F1_plus_60inc_plus_stats,3,2.859552363711353e-05,0.0007077363390229954
F2_F1_plus_60inc_plus_stats,4,2.844962675764799e-05,0.0006283613599947966
