feature_pack,stage,trial_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,tune_train_r2,tune_valid_r2,tune_valid_mse,tune_train_rows,tune_valid_rows,trial_error
F2_F1_plus_60inc_plus_stats,A_coarse,11,160,22,6,4,log2,False,,squared_error,0.9977804806355415,0.8219200258705138,0.000491734034321209,14822.0,5362.0,
F2_F1_plus_60inc_plus_stats,A_coarse,19,120,22,4,6,sqrt,True,0.75,friedman_mse,0.9981212434799657,0.8189735718022568,0.0005677463664147778,16508.0,3676.0,
F2_F1_plus_60inc_plus_stats,B_refine,56,140,16,5,8,sqrt,False,,squared_error,0.9982054874812426,0.8189359299176533,0.0004562230483783308,14393.0,5791.0,
F2_F1_plus_60inc_plus_stats,B_refine,52,240,12,4,8,0.35,False,,friedman_mse,0.9988714397204279,0.8171973886745736,0.0005458109743599256,16568.0,3616.0,
F2_F1_plus_60inc_plus_stats,A_coarse,5,120,18,2,6,0.25,True,0.75,friedman_mse,0.9988037016328237,0.8157913557135781,0.00043563279735840487,13969.0,6215.0,
F2_F1_plus_60inc_plus_stats,B_refine,45,160,12,3,4,0.45,True,0.75,squared_error,0.9982967403660434,0.815378486540072,0.0004373999641416488,15754.0,4430.0,
F2_F1_plus_60inc_plus_stats,A_coarse,6,240,18,4,8,0.25,False,,friedman_mse,0.9990251525039,0.8027587387115452,0.0006129373339415692,16831.0,3353.0,
F2_F1_plus_60inc_plus_stats,A_coarse,1,200,26,2,12,0.45,False,,friedman_mse,0.9996403103597021,0.7989040648935409,0.0005511250339241512,14568.0,5616.0,
F2_F1_plus_60inc_plus_stats,A_coarse,17,240,18,6,8,log2,True,0.65,squared_error,0.9960110588979209,0.7924582590148097,0.0007128154120176161,16127.0,4057.0,
F2_F1_plus_60inc_plus_stats,B_refine,44,200,16,4,4,0.35,True,0.5,squared_error,0.9980267761851499,0.7891599105094743,0.00050752595700259,14991.0,5193.0,
F2_F1_plus_60inc_plus_stats,A_coarse,23,240,22,3,8,log2,True,0.75,squared_error,0.9977749400184655,0.7866840386765681,0.0006201751437151183,15204.0,4980.0,
F2_F1_plus_60inc_plus_stats,A_coarse,39,160,26,3,4,sqrt,True,0.75,friedman_mse,0.9983709758449081,0.7866426435056642,0.0005472205103103126,15910.0,4274.0,
