policy,n_rows,mae,rmse,r2,mape,feature_group
6C-60PER_3C,135,0.03434413923778339,0.04345445305169618,0.19971593709393176,0.03284065704436764,combined_charge_plus_policy
6C_60PER_3C,87,0.03503706983623951,0.048415876850245315,0.3141563573758108,0.033577139254823495,combined_charge_plus_policy
7C-30PER_3_6C,164,0.01843878187817028,0.02587197843893287,0.21346634283311994,0.0176357852675408,combined_charge_plus_policy
7C-40PER_3C,153,0.02229702102650725,0.035585399536412744,0.3146464541656353,0.022245654289292288,combined_charge_plus_policy
7C-40PER_3_6C,123,0.02334378493674591,0.031377036316983194,0.15532360106449805,0.022434768560137056,combined_charge_plus_policy
80PER_3_6C,185,0.029429294392375654,0.0402202812520557,0.09996187672046053,0.030360806183811786,combined_charge_plus_policy
80PER_4C,92,0.05308871224465062,0.0614347400374884,-1.5321384894087084,0.05626915055149835,combined_charge_plus_policy
8C-15PER_3_6C,182,0.01374801053505469,0.025279317125143988,0.47399359995106705,0.01362346027251561,combined_charge_plus_policy
8C-25PER_3_6C,140,0.021739931242319724,0.029272613435156494,0.44414524324784177,0.021037170185803186,combined_charge_plus_policy
8C-35PER_3_6C,91,0.02112369262780852,0.028922019834703865,0.6671421946034919,0.020795004597984047,combined_charge_plus_policy
VARCHARGE_2C_100CYCLES,223,0.008620061523402918,0.010707687232903525,-0.7683269691354888,0.008275789649457651,combined_charge_plus_policy
VARCHARGE_4C_100CYCLES,31,0.05056728852900801,0.06306310029787376,-5.238588808788013,0.05474132160387006,combined_charge_plus_policy
VARCHARGE_6C_100CYCLES,42,0.03941136540703747,0.06185444397850183,0.860830983036926,0.03698724288061631,combined_charge_plus_policy
VARCHARGE_8C_100CYCLES,15,0.04626981041731507,0.10370040866558078,0.8348594805230934,0.03315455274688342,combined_charge_plus_policy
