cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
552,226,166,1,1,6.198708139160939,6.093271501558723,-0.0009527500000001687,0.08278658988255405,0.011028213772863607
553,216,164,1,1,6.114412290157737,5.989538950772916,-0.0010471000000000785,0.06609868215544368,0.009234224689749259
554,230,164,1,1,6.171864717193891,6.02501580302572,-0.002034699999999834,0.08114007076533954,0.010819801604394717
555,214,165,1,1,6.466798209318162,6.1937612193239175,0.0018095999999996337,0.07522984708256159,0.010365438384803236
556,225,165,1,1,6.171652068960068,6.108673909784144,0.0,0.06722595621852213,0.009127499534770715
557,229,163,1,1,6.247235653236766,6.127536909216345,0.0,0.08829235157538379,0.011491625742378902
558,227,164,1,1,6.113671839965592,6.01245350014989,0.002106700000000128,0.0793268201726361,0.009867395584136303
559,228,164,1,1,6.132549017522082,6.04927304171385,0.0009803999999995483,0.08700985474971082,0.01092031018743249
560,224,165,1,1,6.168203917769187,6.037582623007305,0.0,0.07415526500272678,0.010263240012680893
561,225,167,1,1,6.161624760893808,6.0429839753276084,0.0012211500000001152,0.08715445948374839,0.011357392514527885
562,231,165,1,1,6.086864784054269,6.054955771297886,-0.005182749999999903,0.07987137627994449,0.009671092080196682
563,222,166,1,1,6.342660656808757,6.159254232560148,0.000945100000000032,0.09996360663680764,0.010697573953942682
564,219,165,1,1,6.163684010928263,6.064410696724069,-0.0010590500000002834,0.06584719294038334,0.010724469894513713
565,225,164,1,1,6.598144840337843,6.4306281342998615,0.0021071500000005017,0.10793721183401074,0.013035407039744035
566,233,166,1,1,6.090257578033288,6.040673009566154,-0.0040893000000004065,0.08410246981939044,0.009979954063405442
567,239,164,1,1,6.440685387099674,6.328929850071425,0.0,0.09587698475858261,0.010751217232336789
568,219,164,1,1,6.12154133756003,5.9932819297624125,-0.0010385499999996384,0.07873950766396752,0.01136479181042817
569,226,166,1,1,6.161225356747952,5.995269928188818,-0.008458150000000053,0.09441253752168305,0.011787783565220545
570,208,164,1,1,6.17749274714313,6.0763821295937035,0.001044299999999776,0.08426571979759351,0.01409374132121314
571,222,165,1,1,6.376154166846565,6.199746556402779,-0.0012902999999999665,0.07555717998718588,0.010314739741675169
572,221,164,1,1,6.212057591816211,6.105568956910209,0.0,0.08590093304261345,0.010040759683091404
573,230,166,1,1,6.100397351497663,5.9912723669826295,0.001026150000000392,0.08080229341386791,0.010307483157738708
574,226,165,1,1,6.3171108382425745,6.187108374474751,-0.0029993500000005113,0.09178468685999104,0.012166500809411987
575,213,164,1,1,6.26254046157869,6.122106711559052,0.0,0.09916094511824063,0.01096646847667424
576,213,164,1,1,6.119539444086687,5.981963056760802,0.013570700000000269,0.09225058004671816,0.011860741807187743
577,214,163,1,1,5.938777889478297,5.847667029154899,-0.0011052999999998647,0.06901981674545365,0.009428553881736844
578,221,166,1,1,6.1945792072997445,6.095686519315972,0.0011758999999997855,0.08005919165241941,0.010310493149560278
579,222,166,1,1,6.063863743869279,5.965046888634699,0.0011076999999999337,0.08428747833596888,0.009408307266401785
580,216,166,1,1,6.111005730616769,5.943215182174969,0.0021010000000001305,0.0832498412188979,0.00932121417731973
581,215,165,1,1,6.066133618652705,5.955730859540799,-0.006295150000000138,0.07975536978696897,0.010000944720453802
582,223,165,1,1,6.114202259920523,5.908520693683542,-0.0010762500000001118,0.08083623726127569,0.009617614879388817
583,218,162,1,1,6.0337425263339695,5.953170944176344,0.0,0.08592327698059614,0.010346420739214882
584,212,165,1,1,6.174284628469477,6.0287164908535225,0.0009670000000001622,0.07674196117203907,0.010688242751803377
585,231,163,1,1,6.082831856309272,5.951232159506558,0.011628149999999948,0.09400680309791433,0.012094280393424564
586,218,162,2,1,6.462693848725226,6.194844178362624,0.001089100000000176,0.08572196911929125,0.011865205945975305
587,229,164,1,1,6.2175519861945485,6.084362301361738,0.002950199999999903,0.07959485782765192,0.01092200391857552
588,227,164,1,1,6.148156775498169,6.017847016077765,-0.0010052000000002614,0.09317776881176162,0.011243210436039219
589,214,164,1,1,6.1764750911522714,6.050949749394815,0.0,0.0795973822587537,0.010523018945749982
590,216,164,1,1,6.068001283382607,5.965183200574037,0.0,0.07518872351583503,0.009644267543020758
591,222,167,1,1,6.160954517983152,5.979135101837993,0.0,0.061639710912897494,0.009236767713236525
592,231,164,1,1,6.146745290488948,6.017328056446233,-0.00218295000000035,0.07652447365969414,0.009593287083500171
593,227,164,1,1,6.052559066997125,5.9773124168657645,0.004122249999999994,0.07595685387656792,0.01003391157934981
594,220,166,1,1,6.042192015811446,5.976908864926846,-0.001100550000000311,0.06764979445617444,0.009442113340624407
595,227,165,1,1,6.325713355441065,6.129882831321171,-0.0009670499999998583,0.07822777325924947,0.010391245142573741
596,230,164,1,1,5.965615627465853,5.902975557702673,-0.0010795500000000402,0.0700769786036337,0.00935922047911771
597,220,162,1,1,6.007416724370024,5.908635981719049,0.0010142000000001872,0.08042944247882211,0.010332960191508284
598,222,164,1,1,6.053630867544355,5.9302644425078235,0.0010571499999998402,0.06934223482402253,0.009869447665990174
599,219,163,1,1,5.969119611130363,5.851327001274149,0.0,0.08079620257925836,0.01022399076288819
600,213,164,1,1,5.926959766040009,5.810032042026194,0.0010333000000000148,0.062457443006498005,0.009398815062838729
601,226,164,1,1,5.975671435447311,5.902454346210908,0.0020533000000000357,0.06122970070397763,0.008482170480323575
602,220,163,1,1,5.965423123021737,5.918323279149556,0.0021362000000002546,0.06412951916666,0.008518547159259982
603,216,161,1,1,5.962555220567995,5.896794184622317,-0.0010919499999997306,0.0641879699840848,0.008722099908184669
604,229,162,1,1,6.079938460710497,5.937363266275805,0.0010585999999994655,0.08017687504813886,0.01075065357663362
605,218,164,1,1,6.1222680038809125,6.005549956079092,-0.0020718500000000972,0.0994348811006643,0.011801804454341768
606,214,162,1,1,5.962152068154289,5.891289468173507,-0.001072849999999903,0.07687277158429244,0.010714018986678944
