cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,cap_significant_positive,ir_significant_positive,cap_ci_cross_zero,ir_ci_cross_zero,effect_rank_capacity,effect_rank_ir,max_abs_effect_per_1pp
6,s1_r2_t1,1,2,1,0.010112045163598,-0.0057702004751136,0.0188498053127648,0.08,0.176,98893,173,0.0001564280031016,0.0178089557415604,0.0002673671350972,0.0276982211382442,0.05,0.1617647058823529,98893,173,0.0001564280031016,ir_dominant_risk,False,True,True,False,5,5,0.0178089557415604
43,s3_r1_t3,3,1,3,0.0001054518581768,-0.0001884513966249,0.0003831385846185,0.485,0.5918478260869565,98893,173,0.3686850762367248,0.000434928798985,0.000162169856173,0.0007689030882589,0.005,0.0305555555555555,98893,173,0.3686850762367248,ir_dominant_risk,False,True,True,False,24,18,0.000434928798985
10,s1_r2_t5,1,2,5,-0.9405125154168604,-1.470960954841236,-0.2514963422419372,0.005,0.0229166666666666,98893,173,0.0001758659444749,-0.8461329021380433,-1.421452800399858,-0.1440941017905136,0.01,0.0423076923076923,98893,173,0.0001758659444749,uncertain,False,False,False,False,55,55,0.9405125154168604
4,s1_r1_t4,1,1,4,-0.7172986911442587,-1.385755101424882,-0.1012788634410109,0.03,0.0916666666666666,98893,173,0.0001087327813729,-0.289280284086379,-1.2649259485664426,0.771969213934485,0.59,0.74375,98893,173,0.0001087327813729,uncertain,False,False,False,True,54,52,0.7172986911442587
2,s1_r1_t2,1,1,2,-0.5709814347992592,-1.2372438176695946,-0.0173320331340603,0.045,0.12375,98893,173,0.0001525331899756,-0.7064794190621766,-1.5919616170381483,0.0794559381214666,0.08,0.2095238095238095,98893,173,0.0001525331899756,uncertain,False,False,False,True,53,54,0.7064794190621766
9,s1_r2_t4,1,2,4,-0.438873922974228,-0.9787448063029556,0.0594169224203062,0.12,0.2444444444444444,98893,173,0.0001600746368058,-0.6358187503903228,-1.2055263574053443,-0.1755792865120441,0.005,0.0305555555555555,98893,173,0.0001600746368058,uncertain,False,False,True,False,52,53,0.6358187503903228
3,s1_r1_t3,1,1,3,-0.3448867698934025,-0.8886597933119205,0.1457309499015188,0.19,0.325,98893,173,0.0001159269729396,0.0041314840741603,-0.7039104406844318,0.7058290426632485,0.865,0.8976415094339624,98893,173,0.0001159269729396,uncertain,False,False,True,True,51,10,0.3448867698934025
51,s3_r3_t1,3,3,1,0.1404623545282688,-0.5257014464751397,0.9211602354843568,0.195,0.325,98893,173,0.0,0.2653150557685825,-0.8564684563850236,0.8884183579530883,0.16,0.303448275862069,98893,173,0.0,uncertain,False,False,True,True,2,2,0.2653150557685825
1,s1_r1_t1,1,1,1,-0.0033858851036816,-0.9655427758858538,0.851673336936572,0.87,0.9028301886792454,98893,173,0.0001069251884473,-0.0715181769470416,-1.2627123716755584,1.1230673067546315,0.805,0.8831730769230769,98893,173,0.0001069251884473,uncertain,False,False,True,True,48,51,0.0715181769470416
7,s1_r2_t2,1,2,2,0.013629790138001,-0.0052868196109494,0.0646308539926572,0.08,0.176,98893,173,0.0002002352703129,0.0249890249863408,-0.0084638341737363,0.0818152074298877,0.1,0.22,98893,173,0.0002002352703129,uncertain,False,False,True,True,4,4,0.0249890249863408
